Feature,coef, P>|z|  ,Target
lawhite10share,4.3217,0.003,Age Adjusted Rate MalignantBreast
lawhite20share,-3.9164,0.553,Age Adjusted Rate MalignantBreast
lalowi10share,9.7483,0.004,Age Adjusted Rate MalignantBreast
lalowi20share,-31.2031,0.096,Age Adjusted Rate MalignantBreast
lapop10share,-5.5835,0.005,Age Adjusted Rate MalignantBreast
lapop20share,10.4133,0.365,Age Adjusted Rate MalignantBreast
const,2.2294,0,Age Adjusted Rate MalignantFemale
lablack10share,7.1023,0.256,Age Adjusted Rate MalignantFemale
lablack20share,-136.631,0.167,Age Adjusted Rate MalignantFemale
lahisp10share,-18.2717,0.011,Age Adjusted Rate MalignantFemale
lahisp20share,21.1228,0.439,Age Adjusted Rate MalignantFemale
lahunv10share,-2.4117,0.841,Age Adjusted Rate MalignantFemale
lahunv20share,149.7294,0.189,Age Adjusted Rate MalignantFemale
lasnap10share,-6.807,0.59,Age Adjusted Rate MalignantFemale
lasnap20share,36.8956,0.235,Age Adjusted Rate MalignantFemale
lawhite10share,4.7332,0.313,Age Adjusted Rate MalignantFemale
lawhite20share,4.0273,0.833,Age Adjusted Rate MalignantFemale
lalowi10share,14.5774,0.083,Age Adjusted Rate MalignantFemale
lalowi20share,-63.5305,0.09,Age Adjusted Rate MalignantFemale
lapop10share,-5.0477,0.324,Age Adjusted Rate MalignantFemale
lapop20share,6.2717,0.817,Age Adjusted Rate MalignantFemale
const,2.2411,0,Age Adjusted Rate MalignantMale
lablack10share,18.5995,0,Age Adjusted Rate MalignantMale
lablack20share,213.9589,0.01,Age Adjusted Rate MalignantMale
lahisp10share,10.4487,0,Age Adjusted Rate MalignantMale
lahisp20share,-93.9956,0,Age Adjusted Rate MalignantMale
lahunv10share,34.7542,0.023,Age Adjusted Rate MalignantMale
lahunv20share,-207.1933,0.02,Age Adjusted Rate MalignantMale
lasnap10share,30.9307,0,Age Adjusted Rate MalignantMale
lasnap20share,-140.0711,0,Age Adjusted Rate MalignantMale
lawhite10share,8.323,0.003,Age Adjusted Rate MalignantMale
lawhite20share,-35.6366,0.058,Age Adjusted Rate MalignantMale
lalowi10share,-22.6575,0,Age Adjusted Rate MalignantMale
lalowi20share,85.2081,0.002,Age Adjusted Rate MalignantMale
lapop10share,-1.0091,0.735,Age Adjusted Rate MalignantMale
lapop20share,26.9873,0.311,Age Adjusted Rate MalignantMale
const,-0.024,0.884,Age Adjusted Rate MalignantEndocrine
lablack10share,-361000,0.871,Age Adjusted Rate MalignantEndocrine
lablack20share,12300000,0.94,Age Adjusted Rate MalignantEndocrine
lahisp10share,-295500,0.877,Age Adjusted Rate MalignantEndocrine
lahisp20share,3187000,0.953,Age Adjusted Rate MalignantEndocrine
lahunv10share,-268300,0.979,Age Adjusted Rate MalignantEndocrine
lahunv20share,-5081000,0.952,Age Adjusted Rate MalignantEndocrine
lasnap10share,60750,0.968,Age Adjusted Rate MalignantEndocrine
lasnap20share,-1419000,0.991,Age Adjusted Rate MalignantEndocrine
lawhite10share,-346500,0.912,Age Adjusted Rate MalignantEndocrine
lawhite20share,6292000,0.935,Age Adjusted Rate MalignantEndocrine
lalowi10share,-2653.8368,0.999,Age Adjusted Rate MalignantEndocrine
lalowi20share,3233000,0.943,Age Adjusted Rate MalignantEndocrine
lapop10share,346500,0.862,Age Adjusted Rate MalignantEndocrine
lapop20share,-6766000,0.921,Age Adjusted Rate MalignantEndocrine
const,6.7158,0,Age Adjusted Rate All
lablack10share,0.5855,0,Age Adjusted Rate All
lablack20share,-2.5146,0,Age Adjusted Rate All
lahisp10share,-0.3248,0,Age Adjusted Rate All
lahisp20share,-0.0273,0.553,Age Adjusted Rate All
lahunv10share,-1.0329,0,Age Adjusted Rate All
lahunv20share,0.4049,0.002,Age Adjusted Rate All
lasnap10share,2.6465,0,Age Adjusted Rate All
lasnap20share,-3.6825,0,Age Adjusted Rate All
lawhite10share,0.3195,0,Age Adjusted Rate All
lawhite20share,-1.0806,0,Age Adjusted Rate All
lalowi10share,1.3743,0,Age Adjusted Rate All
lalowi20share,-1.106,0,Age Adjusted Rate All
lapop10share,-1.1251,0,Age Adjusted Rate All
lapop20share,1.7531,0,Age Adjusted Rate All
,,,
,,,
,,,
,,,
,,,
